DEBUG 2020-02-09 09:05:50,148 - pop widget QTextEdit irreGivenText
DEBUG 2020-02-09 09:05:50,148 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,148 - setting property geometry
DEBUG 2020-02-09 09:05:50,148 - setting property text
DEBUG 2020-02-09 09:05:50,148 - push QPushButton irreAllocateButton
DEBUG 2020-02-09 09:05:50,148 - pop widget QPushButton irreAllocateButton
DEBUG 2020-02-09 09:05:50,148 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,149 - setting property geometry
DEBUG 2020-02-09 09:05:50,149 - setting property text
DEBUG 2020-02-09 09:05:50,149 - push QLabel irreAllocateLabel
DEBUG 2020-02-09 09:05:50,149 - pop widget QLabel irreAllocateLabel
DEBUG 2020-02-09 09:05:50,149 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,149 - setting property geometry
DEBUG 2020-02-09 09:05:50,149 - setting property text
DEBUG 2020-02-09 09:05:50,149 - push QPushButton irreTextCopyButton
DEBUG 2020-02-09 09:05:50,149 - pop widget QPushButton irreTextCopyButton
DEBUG 2020-02-09 09:05:50,149 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,149 - setting property geometry
DEBUG 2020-02-09 09:05:50,149 - setting property text
DEBUG 2020-02-09 09:05:50,149 - push QLabel irreGivenLabel
DEBUG 2020-02-09 09:05:50,149 - pop widget QLabel irreGivenLabel
DEBUG 2020-02-09 09:05:50,150 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,150 - setting property geometry
DEBUG 2020-02-09 09:05:50,150 - setting property text
DEBUG 2020-02-09 09:05:50,150 - push QLabel irreFullTextLabel
DEBUG 2020-02-09 09:05:50,150 - pop widget QLabel irreFullTextLabel
DEBUG 2020-02-09 09:05:50,150 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,150 - setting property geometry
DEBUG 2020-02-09 09:05:50,150 - setting property text
DEBUG 2020-02-09 09:05:50,150 - push QPushButton irreGivenCopyButton
DEBUG 2020-02-09 09:05:50,150 - pop widget QPushButton irreGivenCopyButton
DEBUG 2020-02-09 09:05:50,150 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,150 - setting property geometry
DEBUG 2020-02-09 09:05:50,150 - setting property title
DEBUG 2020-02-09 09:05:50,150 - push QGroupBox irreGroupBox
DEBUG 2020-02-09 09:05:50,151 - setting property geometry
DEBUG 2020-02-09 09:05:50,151 - setting property text
DEBUG 2020-02-09 09:05:50,151 - push QRadioButton irreOne
DEBUG 2020-02-09 09:05:50,151 - pop widget QRadioButton irreOne
DEBUG 2020-02-09 09:05:50,151 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3CB0>
DEBUG 2020-02-09 09:05:50,151 - setting property geometry
DEBUG 2020-02-09 09:05:50,151 - setting property text
DEBUG 2020-02-09 09:05:50,151 - push QRadioButton irreTwo
DEBUG 2020-02-09 09:05:50,151 - pop widget QRadioButton irreTwo
DEBUG 2020-02-09 09:05:50,151 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3CB0>
DEBUG 2020-02-09 09:05:50,151 - setting property geometry
DEBUG 2020-02-09 09:05:50,151 - setting property text
DEBUG 2020-02-09 09:05:50,151 - push QRadioButton irreThree
DEBUG 2020-02-09 09:05:50,151 - pop widget QRadioButton irreThree
DEBUG 2020-02-09 09:05:50,152 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3CB0>
DEBUG 2020-02-09 09:05:50,152 - setting property geometry
DEBUG 2020-02-09 09:05:50,152 - setting property text
DEBUG 2020-02-09 09:05:50,152 - push QRadioButton irreFour
DEBUG 2020-02-09 09:05:50,152 - pop widget QRadioButton irreFour
DEBUG 2020-02-09 09:05:50,152 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3CB0>
DEBUG 2020-02-09 09:05:50,152 - setting property geometry
DEBUG 2020-02-09 09:05:50,152 - setting property text
DEBUG 2020-02-09 09:05:50,152 - push QRadioButton irreFive
DEBUG 2020-02-09 09:05:50,152 - pop widget QRadioButton irreFive
DEBUG 2020-02-09 09:05:50,152 - new topwidget <PyQt5.QtWidgets.QGroupBox object at 0x049D3CB0>
DEBUG 2020-02-09 09:05:50,152 - pop widget QGroupBox irreGroupBox
DEBUG 2020-02-09 09:05:50,152 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,152 - setting property geometry
DEBUG 2020-02-09 09:05:50,152 - setting property text
DEBUG 2020-02-09 09:05:50,153 - push QPushButton irreFormatButton
DEBUG 2020-02-09 09:05:50,153 - pop widget QPushButton irreFormatButton
DEBUG 2020-02-09 09:05:50,153 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,153 - setting property geometry
DEBUG 2020-02-09 09:05:50,153 - setting property text
DEBUG 2020-02-09 09:05:50,153 - push QLabel label
DEBUG 2020-02-09 09:05:50,153 - pop widget QLabel label
DEBUG 2020-02-09 09:05:50,153 - new topwidget <PyQt5.QtWidgets.QWidget object at 0x049D39E0>
DEBUG 2020-02-09 09:05:50,153 - pop widget QWidget irrelevant
DEBUG 2020-02-09 09:05:50,153 - new topwidget <PyQt5.QtWidgets.QTabWidget object at 0x047E48A0>
DEBUG 2020-02-09 09:05:50,153 - push QWidget blank
DEBUG 2020-02-09 09:05:50,153 - setting property geometry
DEBUG 2020-02-09 09:05:50,153 - setting property text
DEBUG 2020-02-09 09:05:50,153 - push QPushButton blankAllocateButton
